Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00122:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .html"
00123:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .txt"
00124:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .bak"
00125:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .old"
00126:  C=403     29 L	      92 W	   1233 Ch	  ".sh_history - .conf"
00127:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .php"
00128:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .html"
00129:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .txt"
00130:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .bak"
00131:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .old"
00132:  C=403     29 L	      92 W	   1233 Ch	  ".ssh - .conf"
00133:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .php"
00134:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .html"
00135:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .txt"
00136:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .bak"
00137:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .old"
00138:  C=403     29 L	      92 W	   1233 Ch	  ".subversion - .conf"
00139:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .php"
00140:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .html"
00141:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .txt"
00142:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .bak"
00143:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .old"
00144:  C=403     29 L	      92 W	   1233 Ch	  ".svn - .conf"
00146:  C=403     29 L	      92 W	   1233 Ch	  ".svn/entries - .html"
00153:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .txt"
00154:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .bak"
00155:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .old"
00156:  C=403     29 L	      92 W	   1233 Ch	  ".swf - .conf"
00157:  C=403     29 L	      92 W	   1233 Ch	  ".web - .php"
00158:  C=403     29 L	      92 W	   1233 Ch	  ".web - .html"
00159:  C=403     29 L	      92 W	   1233 Ch	  ".web - .txt"
00160:  C=403     29 L	      92 W	   1233 Ch	  ".web - .bak"
00161:  C=403     29 L	      92 W	   1233 Ch	  ".web - .old"
00162:  C=403     29 L	      92 W	   1233 Ch	  ".web - .conf"
00163:  C=403     29 L	      92 W	   1233 Ch	  "@ - .php"
00164:  C=403     29 L	      92 W	   1233 Ch	  "@ - .html"
00165:  C=403     29 L	      92 W	   1233 Ch	  "@ - .txt"
00166:  C=403     29 L	      92 W	   1233 Ch	  "@ - .bak"
00167:  C=403     29 L	      92 W	   1233 Ch	  "@ - .old"
00168:  C=403     29 L	      92 W	   1233 Ch	  "@ - .conf"
00170:  C=403     29 L	      92 W	   1233 Ch	  "_ - .html"
00173:  C=403     29 L	      92 W	   1233 Ch	  "_ - .old"
00174:  C=403     29 L	      92 W	   1233 Ch	  "_ - .conf"
00193:  C=403     29 L	      92 W	   1233 Ch	  "_archive - .php"
