Target: http://10.13.38.12:80/FUZZ
Total requests: 4614
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00166:  C=301      1 L	      10 W	    154 Ch	  "1x1"
00167:  C=301      1 L	      10 W	    152 Ch	  "2"
00168:  C=301      1 L	      10 W	    153 Ch	  "20"
00169:  C=301      1 L	      10 W	    154 Ch	  "200"
00170:  C=301      1 L	      10 W	    155 Ch	  "2000"
00171:  C=301      1 L	      10 W	    155 Ch	  "2001"
00172:  C=301      1 L	      10 W	    155 Ch	  "2002"
00173:  C=301      1 L	      10 W	    155 Ch	  "2003"
00174:  C=301      1 L	      10 W	    155 Ch	  "2004"
00175:  C=301      1 L	      10 W	    155 Ch	  "2005"
00176:  C=301      1 L	      10 W	    155 Ch	  "2006"
00177:  C=301      1 L	      10 W	    155 Ch	  "2007"
00178:  C=301      1 L	      10 W	    155 Ch	  "2008"
00179:  C=301      1 L	      10 W	    155 Ch	  "2009"
00180:  C=301      1 L	      10 W	    155 Ch	  "2010"
00181:  C=301      1 L	      10 W	    155 Ch	  "2011"
00182:  C=301      1 L	      10 W	    155 Ch	  "2012"
00183:  C=301      1 L	      10 W	    155 Ch	  "2013"
00184:  C=301      1 L	      10 W	    155 Ch	  "2014"
00185:  C=301      1 L	      10 W	    153 Ch	  "21"
00186:  C=301      1 L	      10 W	    153 Ch	  "22"
00187:  C=301      1 L	      10 W	    155 Ch	  "2257"
00188:  C=301      1 L	      10 W	    153 Ch	  "23"
00189:  C=301      1 L	      10 W	    153 Ch	  "24"
00190:  C=301      1 L	      10 W	    153 Ch	  "25"
00191:  C=301      1 L	      10 W	    153 Ch	  "2g"
00192:  C=301      1 L	      10 W	    152 Ch	  "3"
00193:  C=301      1 L	      10 W	    153 Ch	  "30"
00194:  C=301      1 L	      10 W	    154 Ch	  "300"
00195:  C=301      1 L	      10 W	    153 Ch	  "32"
00196:  C=301      1 L	      10 W	    153 Ch	  "3g"
00197:  C=301      1 L	      10 W	    159 Ch	  "3rdparty"
00198:  C=301      1 L	      10 W	    152 Ch	  "4"
00199:  C=301      1 L	      10 W	    154 Ch	  "400"
00200:  C=301      1 L	      10 W	    154 Ch	  "401"
00201:  C=301      1 L	      10 W	    154 Ch	  "403"
00202:  C=301      1 L	      10 W	    154 Ch	  "404"
00203:  C=301      1 L	      10 W	    153 Ch	  "42"
00204:  C=301      1 L	      10 W	    152 Ch	  "5"
00205:  C=301      1 L	      10 W	    153 Ch	  "50"
00206:  C=301      1 L	      10 W	    154 Ch	  "500"
00207:  C=301      1 L	      10 W	    153 Ch	  "51"
00208:  C=301      1 L	      10 W	    152 Ch	  "6"
00209:  C=301      1 L	      10 W	    153 Ch	  "64"
00210:  C=301      1 L	      10 W	    152 Ch	  "7"
00211:  C=301      1 L	      10 W	    153 Ch	  "7z"
00212:  C=301      1 L	      10 W	    152 Ch	  "8"
00213:  C=301      1 L	      10 W	    152 Ch	  "9"
00214:  C=301      1 L	      10 W	    153 Ch	  "96"
00215:  C=301      1 L	      10 W	    152 Ch	  "a"
00216:  C=301      1 L	      10 W	    152 Ch	  "A"
00217:  C=301      1 L	      10 W	    153 Ch	  "aa"
00218:  C=301      1 L	      10 W	    154 Ch	  "aaa"
00219:  C=301      1 L	      10 W	    154 Ch	  "abc"
00220:  C=301      1 L	      10 W	    157 Ch	  "abc123"
00221:  C=301      1 L	      10 W	    155 Ch	  "abcd"
00222:  C=301      1 L	      10 W	    159 Ch	  "abcd1234"
00223:  C=301      1 L	      10 W	    156 Ch	  "about"
00224:  C=301      1 L	      10 W	    156 Ch	  "About"
00225:  C=301      1 L	      10 W	    159 Ch	  "about_us"
00226:  C=301      1 L	      10 W	    158 Ch	  "aboutus"
00227:  C=301      1 L	      10 W	    159 Ch	  "about-us"
00228:  C=301      1 L	      10 W	    158 Ch	  "AboutUs"
00229:  C=301      1 L	      10 W	    159 Ch	  "abstract"
00230:  C=301      1 L	      10 W	    156 Ch	  "abuse"
00231:  C=301      1 L	      10 W	    153 Ch	  "ac"
00232:  C=301      1 L	      10 W	    159 Ch	  "academic"
00233:  C=301      1 L	      10 W	    160 Ch	  "academics"
00234:  C=301      1 L	      10 W	    159 Ch	  "acatalog"
00235:  C=301      1 L	      10 W	    154 Ch	  "acc"
00236:  C=301      1 L	      10 W	    157 Ch	  "access"
00237:  C=301      1 L	      10 W	    159 Ch	  "access.1"
00238:  C=301      1 L	      10 W	    160 Ch	  "access_db"
00239:  C=301      1 L	      10 W	    161 Ch	  "access_log"
00240:  C=301      1 L	      10 W	    163 Ch	  "access_log.1"
00241:  C=301      1 L	      10 W	    164 Ch	  "accessgranted"
00242:  C=301      1 L	      10 W	    164 Ch	  "accessibility"
00243:  C=301      1 L	      10 W	    161 Ch	  "access-log"
00244:  C=301      1 L	      10 W	    163 Ch	  "access-log.1"
00245:  C=301      1 L	      10 W	    162 Ch	  "accessories"
00246:  C=301      1 L	      10 W	    164 Ch	  "accommodation"
00247:  C=301      1 L	      10 W	    158 Ch	  "account"
00248:  C=301      1 L	      10 W	    163 Ch	  "account_edit"
00249:  C=301      1 L	      10 W	    166 Ch	  "account_history"
00250:  C=301      1 L	      10 W	    162 Ch	  "accountants"
00251:  C=301      1 L	      10 W	    161 Ch	  "accounting"
00252:  C=301      1 L	      10 W	    159 Ch	  "accounts"
00253:  C=301      1 L	      10 W	    166 Ch	  "accountsettings"
00254:  C=301      1 L	      10 W	    161 Ch	  "acct_login"
00255:  C=301      1 L	      10 W	    162 Ch	  "achitecture"
00256:  C=301      1 L	      10 W	    154 Ch	  "acp"
00257:  C=301      1 L	      10 W	    154 Ch	  "act"
00258:  C=301      1 L	      10 W	    157 Ch	  "action"
00259:  C=301      1 L	      10 W	    158 Ch	  "actions"
00260:  C=301      1 L	      10 W	    159 Ch	  "activate"
00261:  C=301      1 L	      10 W	    157 Ch	  "active"
00262:  C=301      1 L	      10 W	    163 Ch	  "activeCollab"
00263:  C=301      1 L	      10 W	    158 Ch	  "activex"
00264:  C=301      1 L	      10 W	    161 Ch	  "activities"
00265:  C=301      1 L	      10 W	    159 Ch	  "activity"
00266:  C=301      1 L	      10 W	    153 Ch	  "ad"
00267:  C=301      1 L	      10 W	    156 Ch	  "ad_js"
00268:  C=301      1 L	      10 W	    159 Ch	  "adaptive"
00269:  C=301      1 L	      10 W	    158 Ch	  "adclick"
00270:  C=301      1 L	      10 W	    154 Ch	  "add"
00271:  C=301      1 L	      10 W	    159 Ch	  "add_cart"
00272:  C=301      1 L	      10 W	    157 Ch	  "addfav"
00273:  C=301      1 L	      10 W	    158 Ch	  "addnews"
00274:  C=301      1 L	      10 W	    157 Ch	  "addons"
00275:  C=301      1 L	      10 W	    158 Ch	  "addpost"
00276:  C=301      1 L	      10 W	    159 Ch	  "addreply"
00277:  C=301      1 L	      10 W	    158 Ch	  "address"
00278:  C=301      1 L	      10 W	    163 Ch	  "address_book"
00279:  C=301      1 L	      10 W	    162 Ch	  "addressbook"
00280:  C=301      1 L	      10 W	    160 Ch	  "addresses"
00281:  C=301      1 L	      10 W	    160 Ch	  "addtocart"
00282:  C=301      1 L	      10 W	    156 Ch	  "adlog"
00283:  C=301      1 L	      10 W	    159 Ch	  "adlogger"
00284:  C=301      1 L	      10 W	    154 Ch	  "adm"
00285:  C=301      1 L	      10 W	    154 Ch	  "ADM"
00286:  C=301      1 L	      10 W	    156 Ch	  "admin"
00287:  C=301      1 L	      10 W	    156 Ch	  "Admin"
00288:  C=301      1 L	      10 W	    156 Ch	  "ADMIN"
00289:  C=301      1 L	      10 W	    160 Ch	  "admin.cgi"
00290:  C=301      1 L	      10 W	    160 Ch	  "admin.php"
00291:  C=301      1 L	      10 W	    159 Ch	  "admin.pl"
00292:  C=301      1 L	      10 W	    157 Ch	  "admin_"
00293:  C=301      1 L	      10 W	    161 Ch	  "admin_area"
00294:  C=301      1 L	      10 W	    163 Ch	  "admin_banner"
00295:  C=301      1 L	      10 W	    158 Ch	  "admin_c"
00296:  C=301      1 L	      10 W	    162 Ch	  "admin_index"
00297:  C=301      1 L	      10 W	    166 Ch	  "admin_interface"
00298:  C=301      1 L	      10 W	    162 Ch	  "admin_login"
00299:  C=301      1 L	      10 W	    162 Ch	  "admin_logon"
00300:  C=301      1 L	      10 W	    157 Ch	  "admin1"
00301:  C=301      1 L	      10 W	    157 Ch	  "admin2"
00302:  C=301      1 L	      10 W	    157 Ch	  "admin3"
00303:  C=301      1 L	      10 W	    165 Ch	  "admin4_account"
00304:  C=301      1 L	      10 W	    163 Ch	  "admin4_colon"
00305:  C=301      1 L	      10 W	    162 Ch	  "admin-admin"
00306:  C=301      1 L	      10 W	    164 Ch	  "admin-console"
00307:  C=301      1 L	      10 W	    163 Ch	  "admincontrol"
00308:  C=301      1 L	      10 W	    158 Ch	  "admincp"
00309:  C=301      1 L	      10 W	    160 Ch	  "adminhelp"
00310:  C=301      1 L	      10 W	    166 Ch	  "admin-interface"
00311:  C=301      1 L	      10 W	    161 Ch	  "administer"
00312:  C=301      1 L	      10 W	    161 Ch	  "administr8"
00313:  C=301      1 L	      10 W	    165 Ch	  "administracion"
00314:  C=301      1 L	      10 W	    164 Ch	  "administrador"
00315:  C=301      1 L	      10 W	    162 Ch	  "administrat"
00316:  C=301      1 L	      10 W	    164 Ch	  "administratie"
00317:  C=301      1 L	      10 W	    165 Ch	  "administration"
00318:  C=301      1 L	      10 W	    165 Ch	  "Administration"
00319:  C=301      1 L	      10 W	    164 Ch	  "administrator"
00320:  C=301      1 L	      10 W	    172 Ch	  "administratoraccounts"
00321:  C=301      1 L	      10 W	    165 Ch	  "administrators"
00322:  C=301      1 L	      10 W	    164 Ch	  "administrivia"
00323:  C=301      1 L	      10 W	    161 Ch	  "adminlogin"
00324:  C=301      1 L	      10 W	    161 Ch	  "adminlogon"
00325:  C=301      1 L	      10 W	    161 Ch	  "adminpanel"
00326:  C=301      1 L	      10 W	    159 Ch	  "adminpro"
00327:  C=301      1 L	      10 W	    157 Ch	  "admins"
00328:  C=301      1 L	      10 W	    163 Ch	  "AdminService"
00329:  C=301      1 L	      10 W	    164 Ch	  "adminsessions"
00330:  C=301      1 L	      10 W	    159 Ch	  "adminsql"
00331:  C=301      1 L	      10 W	    161 Ch	  "admintools"
00332:  C=301      1 L	      10 W	    161 Ch	  "AdminTools"
00333:  C=301      1 L	      10 W	    161 Ch	  "admissions"
00334:  C=301      1 L	      10 W	    156 Ch	  "admon"
00335:  C=301      1 L	      10 W	    156 Ch	  "ADMON"
00336:  C=301      1 L	      10 W	    156 Ch	  "adobe"
00337:  C=301      1 L	      10 W	    156 Ch	  "adodb"
00338:  C=301      1 L	      10 W	    154 Ch	  "ads"
00339:  C=301      1 L	      10 W	    159 Ch	  "adserver"
00340:  C=301      1 L	      10 W	    155 Ch	  "adsl"
00341:  C=301      1 L	      10 W	    154 Ch	  "adv"
00342:  C=301      1 L	      10 W	    162 Ch	  "adv_counter"
00343:  C=301      1 L	      10 W	    159 Ch	  "advanced"
00344:  C=301      1 L	      10 W	    166 Ch	  "advanced_search"
00345:  C=301      1 L	      10 W	    165 Ch	  "advancedsearch"
00346:  C=301      1 L	      10 W	    157 Ch	  "advert"
00347:  C=301      1 L	      10 W	    160 Ch	  "advertise"
00348:  C=301      1 L	      10 W	    164 Ch	  "advertisement"
00349:  C=301      1 L	      10 W	    162 Ch	  "advertisers"
00350:  C=301      1 L	      10 W	    162 Ch	  "advertising"
00351:  C=301      1 L	      10 W	    158 Ch	  "adverts"
00352:  C=301      1 L	      10 W	    157 Ch	  "advice"
00353:  C=301      1 L	      10 W	    157 Ch	  "adview"
00354:  C=301      1 L	      10 W	    161 Ch	  "advisories"
00355:  C=301      1 L	      10 W	    153 Ch	  "af"
00356:  C=301      1 L	      10 W	    154 Ch	  "aff"
00357:  C=301      1 L	      10 W	    158 Ch	  "affiche"
00358:  C=301      1 L	      10 W	    160 Ch	  "affiliate"
00359:  C=301      1 L	      10 W	    165 Ch	  "affiliate_info"
00360:  C=301      1 L	      10 W	    166 Ch	  "affiliate_terms"
00361:  C=301      1 L	      10 W	    161 Ch	  "affiliates"
00362:  C=301      1 L	      10 W	    163 Ch	  "affiliatewiz"
00363:  C=301      1 L	      10 W	    157 Ch	  "africa"
00364:  C=301      1 L	      10 W	    154 Ch	  "agb"
00365:  C=301      1 L	      10 W	    157 Ch	  "agency"
00366:  C=301      1 L	      10 W	    157 Ch	  "agenda"
00367:  C=301      1 L	      10 W	    156 Ch	  "agent"
00368:  C=301      1 L	      10 W	    157 Ch	  "agents"
00369:  C=301      1 L	      10 W	    161 Ch	  "aggregator"
00370:  C=301      1 L	      10 W	    159 Ch	  "AggreSpy"
00371:  C=301      1 L	      10 W	    155 Ch	  "ajax"
00372:  C=301      1 L	      10 W	    160 Ch	  "ajax_cron"
00373:  C=301      1 L	      10 W	    157 Ch	  "akamai"
00374:  C=301      1 L	      10 W	    169 Ch	  "akeeba.backend.log"
00375:  C=301      1 L	      10 W	    156 Ch	  "alarm"
00376:  C=301      1 L	      10 W	    157 Ch	  "alarms"
00377:  C=301      1 L	      10 W	    156 Ch	  "album"
00378:  C=301      1 L	      10 W	    157 Ch	  "albums"
00379:  C=301      1 L	      10 W	    158 Ch	  "alcatel"
00380:  C=301      1 L	      10 W	    156 Ch	  "alert"
00381:  C=301      1 L	      10 W	    157 Ch	  "alerts"
00382:  C=301      1 L	      10 W	    156 Ch	  "alias"
00383:  C=301      1 L	      10 W	    158 Ch	  "aliases"
00384:  C=301      1 L	      10 W	    154 Ch	  "all"
00385:  C=301      1 L	      10 W	    158 Ch	  "alltime"
00386:  C=301      1 L	      10 W	    162 Ch	  "all-wcprops"
00387:  C=301      1 L	      10 W	    156 Ch	  "alpha"
00388:  C=301      1 L	      10 W	    154 Ch	  "alt"
00389:  C=301      1 L	      10 W	    157 Ch	  "alumni"
00390:  C=301      1 L	      10 W	    161 Ch	  "alumni_add"
00391:  C=301      1 L	      10 W	    165 Ch	  "alumni_details"
00392:  C=301      1 L	      10 W	    162 Ch	  "alumni_info"
00393:  C=301      1 L	      10 W	    166 Ch	  "alumni_reunions"
00394:  C=301      1 L	      10 W	    164 Ch	  "alumni_update"
00395:  C=301      1 L	      10 W	    153 Ch	  "am"
00396:  C=301      1 L	      10 W	    157 Ch	  "amanda"
00397:  C=301      1 L	      10 W	    157 Ch	  "amazon"
00398:  C=301      1 L	      10 W	    158 Ch	  "amember"
00399:  C=301      1 L	      10 W	    157 Ch	  "analog"
00400:  C=301      1 L	      10 W	    158 Ch	  "analyse"
00401:  C=301      1 L	      10 W	    159 Ch	  "analysis"
00402:  C=301      1 L	      10 W	    160 Ch	  "analytics"
00403:  C=301      1 L	      10 W	    154 Ch	  "and"
00404:  C=301      1 L	      10 W	    158 Ch	  "android"
00405:  C=301      1 L	      10 W	    159 Ch	  "announce"
00406:  C=301      1 L	      10 W	    163 Ch	  "announcement"
00407:  C=301      1 L	      10 W	    164 Ch	  "announcements"
00408:  C=301      1 L	      10 W	    159 Ch	  "annuaire"
00409:  C=301      1 L	      10 W	    157 Ch	  "annual"
00410:  C=301      1 L	      10 W	    155 Ch	  "anon"
00411:  C=301      1 L	      10 W	    159 Ch	  "anon_ftp"
00412:  C=301      1 L	      10 W	    160 Ch	  "anonymous"
00413:  C=301      1 L	      10 W	    155 Ch	  "ansi"
00414:  C=301      1 L	      10 W	    157 Ch	  "answer"
00415:  C=301      1 L	      10 W	    158 Ch	  "answers"
00416:  C=301      1 L	      10 W	    164 Ch	  "antibot_image"
00417:  C=301      1 L	      10 W	    159 Ch	  "antispam"
00418:  C=301      1 L	      10 W	    160 Ch	  "antivirus"
00419:  C=301      1 L	      10 W	    159 Ch	  "anuncios"
00420:  C=301      1 L	      10 W	    154 Ch	  "any"
00421:  C=301      1 L	      10 W	    154 Ch	  "aol"
00422:  C=301      1 L	      10 W	    153 Ch	  "ap"
00423:  C=301      1 L	      10 W	    155 Ch	  "apac"
00424:  C=301      1 L	      10 W	    157 Ch	  "apache"
00425:  C=301      1 L	      10 W	    157 Ch	  "apanel"
00426:  C=301      1 L	      10 W	    154 Ch	  "apc"
00427:  C=301      1 L	      10 W	    157 Ch	  "apexec"
00428:  C=301      1 L	      10 W	    154 Ch	  "api"
00429:  C=301      1 L	      10 W	    155 Ch	  "apis"
00430:  C=301      1 L	      10 W	    154 Ch	  "apl"
00431:  C=301      1 L	      10 W	    154 Ch	  "apm"
00432:  C=301      1 L	      10 W	    154 Ch	  "app"
00433:  C=301      1 L	      10 W	    162 Ch	  "app_browser"
00437:  C=301      1 L	      10 W	    161 Ch	  "app_themes"
00438:  C=301      1 L	      10 W	    157 Ch	  "appeal"
00439:  C=301      1 L	      10 W	    158 Ch	  "appeals"
00440:  C=301      1 L	      10 W	    157 Ch	  "append"
00441:  C=301      1 L	      10 W	    155 Ch	  "appl"
00442:  C=301      1 L	      10 W	    156 Ch	  "apple"
00443:  C=301      1 L	      10 W	    157 Ch	  "applet"
00444:  C=301      1 L	      10 W	    158 Ch	  "applets"
00445:  C=301      1 L	      10 W	    160 Ch	  "appliance"
00446:  C=301      1 L	      10 W	    161 Ch	  "appliation"
00447:  C=301      1 L	      10 W	    162 Ch	  "application"
00448:  C=301      1 L	      10 W	    167 Ch	  "application.wadl"
